:-)--	100 pound weakling
:-)}	has goatee/beard
<<<<(:	hat salesman
<<<<(:-)	hat salesman
D:-)	Hats Off To Your Great Idea
:-`|	Have A Cold
<u3	Heart
<3	Heart
|:-)	Heavy Eyebrows
:-I	Hmm
:-|	Hmmm
:-\	Hmmm
:-/	Hmmm
:-,	Hmmmm
8-)	Hollywood
(8-(1)	Homer
(_8^(|)	Homer
<(^.^<)	Huge
<(*.*<)	Huggle
:-)	Humor (or smiley)
:0	Hungry
XD	Hyper
@-)	Hypnotized
:[	I Am A Vampire!
((:-/	I Am Bald
:'-(	I Am Crying
>;-('	I Am Spitting Mad
#;-)	I Have Tangled Hair
<3	I Love You
:-E	I'm Disappointed
:+(	I'm Hurt By That
(-.-)ZZZ	I'm Sleepy
:'-)	I'm So Happy I'm Crying
:*)	I'm Tipsy
%-)	I'm Tipsy But Happy
(:-$	ill
(*_*)	In Love
:-X	In Love
._.	Inadequate
:-I	indifferent
:-|	Indifferent
O:-)	Innocent
?_?	Irritated
8-)	Joe Cool
//o-o\\	John Lennon
(8 {	John Lennon
X-p	Joking
8-*	just ate a hot pepper
@:-}	Just Back From Hairdresser
\VVV/	King
\$$$/	King
<('.'<)	Kirby
<(^.^)>	Kirby
<( '.' <)	Kirby
<( '.' )>	Kirby
(>'.')>	Kirby
:*)	Kiss
:-*	Kiss
:-)*	Kiss
:*	kisses
:}{:	Kisses
(}{)	Kissing
(:-*	kissing
( '}~{' )	Kissing
( '}{' )	Kissing
:pd:	Kissing
=^w^=	Kitty
=^.^=	Kitty
:3	Kitty
@(*o*)@	Koala
:*)O	Kool
<{::}>	Ladybug
(::)<	Ladybug
C:-)	large brain capacity
:-D	Laugh Loud
XD	Laughing
:))	Laughing
:-D	Laughing
;-D	laughing
%OD	Laughing Like Crazy
=D	Laughing out Loud
%-(I)	laughing out loud
:.-)	Laughing Tears
(-:	smile
(-:	smile
?-:	Left Handed Tongue Touching Nose
(-:	smile
)-:	sad
(-:	smile
:^o	Liar Liar
:-9	Licking Lips
:3	Lion
:X	Lips are Sealed
:-#	lips are sealed
:-*	Lips are Sealed
[:-)	listening to Walkman radio
8:-)	little girl
:~)	Long Nose
:-----)	long nose (Liar!)
<@> <@>	Look at Me
>_>	Looking
<_<	Looking
(*)?(*)	Looking
<.< >.>	Looking Around
<o?o>	Looking at You
<*_*>	Looking at You
:-?	Lopsided grin with dimple
%+{	lost a fight
:-) :-) :-)	loud guffaw
<3	Love
(>^.^)> <3 <(^.^<)	Love
:x	Love Struck
X-(	Mad
~:(	Mad
=/	Mad
>=[	Mad
>=(	Mad
>:-<	Mad
>,<	Mad
>:-(	mad, annoyed
:-.)	Madonna
:-(*)	Makes Me Sick
@@@@@:-)	Marge Simpson
@@@@:-)	Marge Simpson
:-)(-:	Married
3:[	mean pet smiley
\m/	Metal
8(:-)	Mickey Mouse
:)	Midget
:>	midget smiley
:)	midget smiley
:<	midget unsmiley
:p	Mischievous
:~/	mixed up
^o^	Mog
~~:-(	Mohawk
$-)	Money Eyes
:-$	Money Mouth
@(-_-)@	Monkey
@(^_^)@	monkey face
:E	Monster
~O-O~	Mr. Magoo
l_l)	mug
={D	Mustache
{ 8{]	Mustache
:{	Mustache
:-#	My Lips Are Sealed
~,~	Napping
:-P	Naughty
*:-)	Navy Admiral
#:-)	Navy Commander
8-|	Nerd
*8-I	Nerd
:-B	Nerd
E-:-I	net.ham-radio
Q:-)	new graduate
|:-0	No Explanation
:-|	No expression
:/i	no smoking
):-(	Nordic
8:]	Normal smiling face except that a gorilla
:/)	Not Amused
:/)	not funny
[-(	Not talking
:-O	Oh
8-O	Oh My God!
:-O	Oh No
?:-_]	Old Lady
:)]	On the Phone
.-]	one eye
.-)	one eye
,-)	one eye â€¦ and winking
':-(	One Eyebrow
'-)	One-Eyed Smile
=X	Oops
:-*	Oops
=^)	Open-minded
:d	smile
:-D	Open-Mouthed Smile
:=)	Orangutan
^_^	Overjoyed
(^o^)	owl
(:V)	Pacman
:v	Pacman
:-[	particularly angry
<:o)	Party
<:-P	Party
<l:0	Partying
*<(8)~/~<	Partying
*<|8-P~	Partying Too Much
(:V	Pato
8>	Penguin
:-?	Pensive
:-/	Perplexed
<:^]	Person
:^)	smile
3:]	Pet Dog
3:]	pet smiley
:?)	philosopher
=8)	Pig
:8)	Pig
:@)	pig
(o^-^o)	Pikachu
^_^''	Pikachu
:---)	Pinnochio
:-------[	Pinocchio
:-?	pipe smoker
P-(	Pirate
:-<	Pointy Mustache
}:^#)	Pointy Nosed
:-I	Poker Face
+O=-)	Pope
:-\	Popeye
;-\	Popeye gets his lights punched out
:-\	Popeye smiling face, for people who look like popeye
:-[	pouting
:-[	Pouting Variation
[-o<	Praying
\<><>/	Prince
~<:-)	Princess
\&&&/	Princess
;~[	Prizefighter
(+[ ]-:-)	PSP
:-#	punched in the mouth
=:-(	Punk Not Smiling
Q('.'Q)	Put Em Up
\%%%/	Queen
/:)	Raised Eyebrow
:-<	real sad smiley
:-<	Real sad Smiley
:-C	Real Unhappy
~:-(	Really Bummed Out
:-C	really bummed out
:-$	Really confused
:))	Really Happy
:-))	Really Happy
}---:o>	Reindeer
+-(:-)	Religious leader
>=D	Revenge
<(-_-)>	robot
[:]	Robot
\m/>.<\m/	Rocker
\m/(**)\m/	Rocker
\m/ >_< \m/	Rocker
>-D	Rocking
\w/^^,\w/	Rocking
\m/	Rocking
9_9	Rolling Eyes
8-|	Rolling Eyes
=))	Rolling on the floor laughing
Y_Y	Sad
T.T	Sad
D=	Sad
D:	Sad
=[	Sad
=(	Sad
(<_>)	sad
:c	Sad
:*(	sad
:[	sad
:(	sad
:-(	Sad
/:-)	Sailor
*<|:-{)}	Santa Claus
*<|:-)	Santa Claus
*<|:^) }	Santa Claus
*<:-)	Santa Claus
*<|:-)	Santa Claus (Ho Ho Ho)
:-7	Sarcastic
;->	sarcastic
^o)	Sarcastic
!:-)	Scholar
8<	Scissors
:-@	scream
:-@	screaming
)8-)	Scuba Smiley big-face
(-_-)	secret smile
:-*	Secret Telling
::=))	Seeing Double
8==8	Seeing Eye to Eye
$-)	Sees Money
:-I	Semi-Smile
:-i	Semi-Smiley
&:-)	Sender Has Curly Hair
8-)	Sender Wears Glasses
[-x	Shame on You
<(((">	Shark
,:-)	Shaved Left Eyebrow
o_o	Shocked
:-o	shocked
:-O	shocked, surprised
+-(	Shot Between The Eyes
^^	Shoulder Shrug
:-V	Shouting
(*^_^*)	Shy
=+o()	Sick
:-s	Sick
:-&	Sick
:-(*)	Sick Comment
:-Y	Side Comment
:-<	Sigh
8-}	Silly
=P	Silly
