Id	Polaridad	Happiness	Anger	Fear	Repulsion	Surprise	Sadness	interest
123	0	0,7	0	0	0	0	0	Family
124	0	0,2	0	0	0	0	0	Family
125	0	0	0	0	0	0	0	Unidentified
126	0	0	0	0	0	0	0	Family
127	0	0	0	0	0	0	0	Family
128	0	0	0	0	0	0	0	Family
129	0	0,35	0	0	0	0	0	Family
130	0	0,35	0	0	0	0	0	Family
131	0	0,2	0	0	0	0	0	Family
132	0	0	0	0	0	0	0	Unidentified
133	0	0	0	0	0	0	0	Unidentified
134	0	0	0	0	0	0	0	Family
135	0	0	0	0	0	0	0	Family
136	0	0	0	0	0	0	0	Family
137	0	0,35	0	0	0	0	0	Unidentified
138	0	0	0	0	0	0	0	Unidentified
139	0	0	0	0	0	0	0	Unidentified
140	0	0	0	0	0	0	0	Unidentified
141	0	0	0	0	0	0	0	Family
142	0	0	0	0	0	0	0	Family
143	0	0	0	0	0	0	0	Family
144	0	0,4	0	0	0	0	0	Unidentified
145	0	0,2	0	0	0	0	0	Unidentified
146	0	0	0	0	0	0	0	Unidentified
147	0	0	0	0	0	0	0	Unidentified
148	0	0	0	0	0	0	0	Family
149	0	0	0	0	0	0	0	Family
150	0	0	0	0	0	0	0	Family
151	0	0,7	0	0	0	0	0	Unidentified
152	0	0,2	0	0	0	0	0	Family
153	0	0	0	0	0	0	0	Family
154	0	0	0	0	0	0	0	Family
155	0	0	0	0	0	0	0	Family
156	0	0	0	0	0	0	0	Family
157	0	0,35	0	0	0	0	0	Family
158	0	0,7	0	0	0	0	0	Unidentified
159	0	0,2	0	0	0	0	0	Family
160	0	0	0	0	0	0	0	Family
161	0	0	0	0	0	0	0	Family
162	0	0	0	0	0	0	0	Family
163	0	0	0	0	0	0	0	Family
164	0	0,35	0	0	0	0	0	Family
165	0	0,7	0	0	0	0	0	Unidentified
166	0	0	0	0	0	0	0	Family
167	0	0	0	0	0	0	0	Family
168	0	0	0	0	0	0	0	Health
169	0	0	0	0	0	0	0	Health
170	0	0	0	0	0	0	0	Health
171	0	0,35	0	0	0	0	0	Health
172	0	0,35	0	0	0	0	0	Unidentified
173	0	0	0	0	0	0	0	Unidentified
174	0	0	0	0	0	0	0	Health
175	0	0	0	0	0	0	0	Health
176	0	0	0	0	0	0	0	Health
177	0	0	0	0	0	0	0	Health
178	0	0	0	0	0	0	0	Health
179	0	0,35	0	0	0	0	0	Unidentified
